analysis_split,vg_region,vd_region,points,base_mean_abs_log_error,residual_mean_abs_log_error,mean_log_error_reduction,median_log_error_reduction,improvement_rate,mean_signed_residual,mean_abs_residual,p90_abs_residual,mean_log_error_reduction_pct
fit,high_vg,high_vd,430,0.051054045116217556,0.015297273669781584,0.035756771446435964,0.0347327757233975,0.8348837209302326,-0.023390187276753144,0.04584507987764059,0.09442949921809825,70.03709767764839
fit,high_vg,low_vd,300,0.0880802340835544,0.014891514206806946,0.07318871987674747,0.04854951431847487,0.9333333333333333,0.015369653159467584,0.08537260773514967,0.14791416655437123,83.0932395199125
fit,high_vg,mid_vd,279,0.058543157429821684,0.01604286975133649,0.04250028767848519,0.039034006603590576,0.8781362007168458,0.030328749329591665,0.05913579702658406,0.10407606538394064,72.59650750718767
fit,low_vg,high_vd,377,0.14907077039290714,0.06578569762750452,0.08328507276540263,0.0900567562385568,0.870026525198939,0.030532618721499986,0.10920836222552499,0.19036995315843347,55.86948571197924
fit,low_vg,low_vd,393,0.11269782014782127,0.062345689397684124,0.050352130750137135,0.0337821865970529,0.8193384223918575,-0.02621381629720878,0.0874510460189767,0.19391903708517783,44.67888614357601
fit,low_vg,mid_vd,261,0.09603034287848243,0.05797107789894917,0.038059264979533276,0.042394464565925105,0.7547892720306514,-0.0058843465853844435,0.05544848280185941,0.0942738236377511,39.6325409643635
fit,mid_vg,high_vd,209,0.056875408912339505,0.0295947368245321,0.027280672087807406,0.03146292128801775,0.7799043062200957,-0.030090514282941887,0.04586722057899345,0.08471497162979467,47.96567200044988
fit,mid_vg,low_vd,141,0.07815949093521814,0.027052757317092495,0.051106733618125656,0.025443249880725993,0.8439716312056738,0.04646467400076683,0.07313434360876692,0.123317614013758,65.3877513870773
fit,mid_vg,mid_vd,135,0.05584952775735402,0.026828988036799967,0.029020539720554055,0.037948518115009655,0.762962962962963,-0.022764465942945993,0.04494294408838918,0.07201225793183853,51.962014516287034
holdout,high_vg,high_vd,1290,0.1650146920818227,0.13493457255849894,0.030080119523323786,0.044227004448131435,0.8496124031007752,-0.00196897465360272,0.0911708847351342,0.15004612277024773,18.22875232734339
holdout,high_vg,low_vd,900,0.13640958574221643,0.1250608461267813,0.011348739615435087,0.0411104821216024,0.7911111111111111,0.0735321838421752,0.14419909490848787,0.4111759013224833,8.319605659445124
holdout,high_vg,mid_vd,837,0.14013701754977423,0.13823654556018616,0.0019004719895880564,0.039930493274872525,0.7729988052568698,0.0808293424823178,0.10544197378545266,0.17177579884947144,1.356152730247054
holdout,low_vg,high_vd,1131,0.26805251903477795,0.22876899464099237,0.039283524393785595,0.07194988392853663,0.7214854111405835,0.07014913627835886,0.1339569449002388,0.2839305516010821,14.655159569192048
holdout,low_vg,low_vd,1179,0.23399879140609783,0.21888127603186947,0.015117515374228375,0.03250160193641882,0.6666666666666666,0.029971223972114065,0.16770544655141795,0.39005018616038456,6.460510023742979
holdout,low_vg,mid_vd,783,0.20650990707340727,0.21250005485815898,-0.005990147784751714,0.031003590049204277,0.6973180076628352,0.04380912319487238,0.13537378830928323,0.3493415079211868,-2.9006587962980483
holdout,mid_vg,high_vd,627,0.16056642103736612,0.1161722027532754,0.044394218284090715,0.047787796900304436,0.8245614035087719,-0.017729581754392362,0.08794866233339486,0.18962851977511344,27.64850707717994
holdout,mid_vg,low_vd,423,0.11141659431897576,0.07405902177032972,0.03735757254864604,0.03724280877801611,0.7754137115839244,0.06453351906653207,0.13164660690577645,0.2964003828404153,33.52963064163911
holdout,mid_vg,mid_vd,405,0.12892178040753308,0.07064942368838267,0.05827235671915039,0.04436544966247613,0.7975308641975308,-0.032223473745292344,0.10310193276327353,0.2500758130179901,45.19977658929806
